Company,Data Count
AUROPHARMA,7184
AURUM,2222
AUSOMENT,5488
AUTOAXLES,5499
AUTOIND,4330
AVADHSUGAR,1742
AVALON,333
AVANTEL,17
AVANTIFEED,3609
AVG,1561
AVONMORE,401
AVROIND,1485
AVTNPL,4343
AWFIS,59
AWHCL,899
AWL,626
AXISBANK,6434
AXISCADES,5499
AXITA,536
AYMSYNTEX,2225
AZAD,160
BAFNAPH,2902
BAGFILMS,5162
BAIDFIN,389
BAJAJ-AUTO,5501
BAJAJCON,3456
BAJAJELEC,4140
BAJAJFINSV,5467
BAJAJHCARE,678
BAJAJHIND,5500
BAJAJHLDNG,5467
BAJEL,166
BAJFINANCE,5498
BALAJITELE,5501
BALAMINES,4286
BALAXI,2155
BALKRISHNA,2238
BALKRISIND,4579
BALMLAWRIE,5498
BALPHARMA,4514
BALRAMCHIN,5501
BALUFORGE,80
BANARBEADS,3118
BANARISUG,5499
BANCOINDIA,4354
BANDHANBNK,1581
BANG,4065
BANKA,1599
BANKBARODA,5498
BANKINDIA,5498
BANSALWIRE,31
BANSWRAS,4283
BARBEQUE,835
BASF,5498
BASML,4630
BATAINDIA,5498
BAYERCROP,3609
BBL,4377
BBOX,5500
BBTC,5499
BBTCL,1433
BCLIND,856
BCONCEPTS,1628
BDL,1583
BEARDSELL,3608
BECTORFOOD,904
BEDMUTHA,3416
BEL,5498
BEML,5498
BEPL,4793
BERGEPAINT,5500
BESTAGRO,257
BFINVEST,3353
BFUTILITIE,4269
BGRENERGY,4099
BHAGCHEM,704
BHAGERIA,2091
BHAGYANGR,5497
BHANDARI,1868
BHARATFORG,7193
BHARATGEAR,5498
BHARATRAS,5499
BHARATWIRE,2072
BHARTIARTL,5498
BHARTIHEXA,90
BHEL,7193
BIGBLOC,1967
BIKAJI,436
BIL,5499
BINANIIND,5470
BIOCON,5037
BIOFILCHEM,1746
BIRLACABLE,5498
BIRLACORPN,5499
BIRLAMONEY,4074
BLAL,332
BLBLIMITED,5468
BLISSGVS,3473
BLKASHYAP,4546
BLS,2022
BLSE,134
BLUECHIP,5497
BLUEDART,5498
BLUEJET,198
BLUESTARCO,5498
BODALCHEM,3203
BOMDYEING,7193
BOROLTD,1013
BORORENEW,1541
BOROSCI,53
BOSCHLTD,5500
BPCL,7192
BPL,5498
BRIGADE,4102
BRITANNIA,7195
BRNL,1711
BROOKS,3195
BSE,1864
BSHSL,1551
BSL,5501
BSOFT,5502
BTML,932
BURNPUR,4099
BUTTERFLY,2545
BVCL,4126
BYKE,3117
CALSOFT,5501
CAMLINFINE,2366
CAMPUS,567
CAMS,961
CANBK,5373
CANFINHOME,5498
CANTABIL,3418
CAPACITE,1706
CAPITALSFB,128
CAPLIPOINT,2506
CAPTRUST,1876
CARBORUNIV,5500
CAREERP,3422
CARERATING,2875
CARTRADE,743
CARYSIL,890
CASTROLIND,5471
CCHHL,2357
CCL,4995
CDSL,1765
CEATLTD,4078
CEIGALL,11
CELEBRITY,4589
CELLO,195
CENTENKA,6412
CENTEXT,5500
CENTRALBK,4192
CENTRUM,1577
CENTUM,5187
CENTURYPLY,4542
CENTURYTEX,7193
CERA,4140
CEREBRAINT,2750
CESC,5498
CGCL,3405
CGPOWER,5501
CHALET,1366
CHAMBLFERT,5498
CHEMBOND,1179
CHEMCON,962
CHEMFAB,1562
CHEMPLASTS,741
CHENNPETRO,5498
CHEVIOT,537
CHOICEIN,585
CHOLAFIN,5498
CHOLAHLDNG,5501
CIEINDIA,4185
CIGNITITEC,2432
CINELINE,4320
CINEVISTA,5501
CIPLA,7195
CLEAN,765
CLEDUCATE,1825
CLSEL,812
CMSINFO,652
COALINDIA,3401
COASTCORP,709
COCHINSHIP,1735
COFFEEDAY,2172
COFORGE,4936
COLPAL,5501
COMPUSOFT,3074
COMSYN,143
CONCOR,5498
CONCORDBIO,248
CONFIPET,947
CONSOFINVT,5500
CONTROLPR,2015
CORALFINAC,1828
CORDSCABLE,4070
COROMANDEL,5471
COSMOFIRST,6412
COUNCODOS,5501
CRAFTSMAN,842
CREATIVE,1745
CREATIVEYE,5497
CREDITACC,1479
CREST,4352
CRISIL,5501
CROMPTON,2045
CROWN,1835
CSBBANK,1169
CSLFINANCE,514
CTE,4325
CUB,5501
CUBEXTUB,4083
CUMMINSIND,5498
CUPID,1959
CYBERMEDIA,4735
CYBERTECH,5498
CYIENT,4455
CYIENTDLM,276
DABUR,5498
DALBHARAT,1399
DALMIASUG,5498
DAMODARIND,2009
DANGEE,1461
DATAMATICS,5016
DATAPATTNS,657
DAVANGERE,141
DBCORP,3611
DBL,1982
DBOL,482
DBREALTY,3577
DBSTOCKBRO,3075
DCAL,5028
DCBBANK,4394
DCI,1142
DCM,5498
DCMFINSERV,5466
DCMNVL,1262
DCMSHRIRAM,5498
DCMSRIND,657
DCW,5498
DCXINDIA,439
DECCANCE,5471
DEEDEV,41
DEEPAKFERT,7193
DEEPAKNTR,3427
DEEPENR,3569
DEEPINDS,823
DELHIVERY,556
DELPHIFX,3241
DELTACORP,4140
DELTAMAGNT,5499
DEN,3638
DENORA,5498
DEVIT,1746
DEVYANI,746
DGCONTENT,1282
DHAMPURSUG,5498
DHANBANK,5041
DHANI,4915
DHANUKA,3240
DHARMAJ,420
DHRUV,678
DHUNINV,3310
DIACABS,3427
DIAMINESQ,222
DIAMONDYD,1699
DICIND,5498
DIGIDRIVE,151
DIGISPICE,4003
DIGJAMLMTD,1738
DIL,1523
DISHTV,4278
DIVGIITTS,354
DIVISLAB,5319
DIXON,1711
DJML,423
DLF,4224
DLINKINDIA,3620
DMART,1834
DMCC,674
DNAMEDIA,1653
DODLA,780
DOLATALGO,1240
DOLLAR,1813
DOLPHIN,4406
DOMS,165
DONEAR,4356
DPABHUSHAN,1686
DPSCLTD,4027
DPWIRES,1697
DRCSYSTEMS,852
DREAMFOLKS,484
DREDGECORP,5096
DRREDDY,7193
DSSL,4101
DTIL,2366
DUCON,2925
DVL,4093
DWARKESH,4847
DYCL,510
DYNAMATECH,4422
DYNPRO,1752
E2E,1538
EASEMYTRIP,846
ECLERX,4102
EDELWEISS,4113
EICHERMOT,7193
EIDPARRY,5501
EIFFL,1825
EIHAHOTELS,4034
EIHOTEL,7196
EIMCOELECO,5498
EKC,4608
ELDEHSG,583
ELECON,4411
ELECTCAST,5498
ELECTHERM,4193
ELGIEQUIP,5498
ELGIRUBCO,4101
ELIN,404
EMAMILTD,4451
EMAMIPAP,1273
EMAMIREAL,5469
EMBDL,40
EMCURE,31
EMIL,456
EMKAY,4519
EMMBI,3577
EMSLIMITED,225
EMUDHRA,550
ENDURANCE,1938
ENERGYDEV,4140
ENGINERSIN,6750
ENIL,4566
ENTERO,126
EPACK,139
EPIGRAL,238
EPL,5501
EQUIPPP,4287
EQUITASBNK,941
ERIS,1765
EROSMEDIA,3422
ESABINDIA,5498
ESAFSFB,191
ESCORTS,7193
ESSARSHPNG,3149
ESSENTIA,2712
ESTER,3247
ETHOSLTD,552
EUROTEXIND,5466
EVEREADY,5501
EVERESTIND,5499
EXCEL,3714
EXCELINDUS,5500
EXICOM,114
EXIDEIND,5501
EXPLEOSOL,3658
EXXARO,746
FACT,5498
FAIRCHEMOR,904
FAZE3Q,434
FCL,2369
FCSSOFT,4665
FDC,5499
FEDERALBNK,7195
FEDFINA,179
FEL,5501
FELDVR,4362
FIBERWEB,620
FIEMIND,4398
FILATEX,3198
FILATFASH,76
FINCABLES,5501
FINEORG,1515
FINOPB,686
FINPIPE,5498
FIRSTCRY,8
FIVESTAR,433
FLAIR,178
FLEXITUFF,3164
FLFL,2684
FLUOROCHEM,1202
FMGOETZE,5498
FMNL,3363
FOCUS,1744
FOODSIN,684
FORCEMOT,1199
FORTIS,4265
FOSECOIND,5498
FSL,4315
FUSION,437
GABRIEL,4773
GAEL,5501
GAIL,6866
GALAXYSURF,1612
GALLANTT,4534
GANDHAR,179
GANDHITUBE,4330
GANECOS,2335
GANESHBE,725
GANESHHOUC,4309
GANGAFORGE,1497
GANGESSECU,1744
GARFIBRES,5471
GATECH,191
GATECHDVR,267
GATEWAY,598
GEECEE,4409
GEEKAYWIRE,1726
GENCON,868
GENESYS,5353
GENSOL,281
GENUSPAPER,2348
GENUSPOWER,4716
GEOJITFSL,4721
GEPIL,5498
GESHIP,5501
GET&D,5471
GFLLIMITED,5501
GHCL,7193
GHCLTEXTIL,295
GICHSGFIN,6412
GICRE,1686
GILLANDERS,3624
GILLETTE,5498
GINNIFILA,5499
GIPCL,5498
GKWLIMITED,5501
GLAND,927
GLAXO,5498
GLENMARK,5501
GLFL,5497
GLOBAL,1836
GLOBALVECT,4394
GLOBE,1504
GLOBUSSPR,3678
GLOSTERLTD,81
GLS,752
GMBREW,5499
GMDCLTD,5501
GMMPFAUDLR,1597
GMRINFRA,4440
GMRP&UI,597
GNA,1953
GNFC,5498
GOACARBON,4246
GOCLCORP,4136
GOCOLORS,675
GODFRYPHLP,6408
GODHA,1540
GODIGIT,64
GODREJAGRO,1692
GODREJCP,5501
GODREJIND,5501
GODREJPROP,3612
GOKEX,4768
GOKUL,3997
GOKULAGRO,2084
GOLDENTOBC,5498
GOLDIAM,4681
GOLDTECH,5498
GOODLUCK,1965
GOPAL,108
GOYALALUM,443
GPIL,4522
GPPL,3440
GPTHEALTH,117
GPTINFRA,2005
GRANULES,4730
GRAPHITE,5499
GRASIM,5498
GRAVITA,3394
GREAVESCOT,5470
GREENLAM,2339
GREENPANEL,1198
GREENPLY,5498
GREENPOWER,3420
GRINDWELL,4425
GRINFRA,765
GRMOVER,483
GROBTEA,2002
GRPLTD,2350
GRSE,1439
GRWRHITECH,629
GSFC,7193
GSLSU,347
GSPL,4566
GSS,4054
GTECJAINX,229
GTL,5498
GTLINFRA,5467
GTPL,1763
GUFICBIO,4900
GUJALKALI,6412
GUJAPOLLO,4247
GUJGASLTD,2203
GUJRAFFIA,1413
GULFOILLUB,2479
GULFPETRO,4915
GULPOLY,2361
GVKPIL,4559
GVPTECH,1836
HAL,1579
HAPPSTMNDS,972
HAPPYFORGE,161
HARDWYN,583
HARIOMPIPE,582
HARRMALAYA,5498
HARSHA,470
HATHWAY,3576
HATSUN,2507
HAVELLS,5499
HAVISHA,1569
HBLPOWER,4347
HBSL,5499
HCC,7196
HCG,2073
HCL-INSYS,5467
HCLTECH,5472
HDFCAMC,1490
HDFCBANK,7196
HDFCLIFE,1669
HDIL,4211
HEADSUP,1900
HECPROJECT,1832
HEG,5498
HEIDELBERG,7193
HEMIPROP,948
HERANBA,855
HERCULES,4066
HERITGFOOD,5498
HEROMOTOCO,5498
HESTERBIO,2331
HEUBACHIND,5500
HEXATRADEX,3042
HFCL,5467
HGINFRA,1593
HGS,5468
HIKAL,5499
HIL,7196
HILTON,4254
HIMATSEIDE,5498
HINDALCO,7196
HINDCOMPOS,5501
HINDCON,1591
HINDCOPPER,3609
HINDMOTORS,5467
HINDOILEXP,7193
HINDPETRO,7192
HINDUNILVR,7196
HINDWAREAP,1154
HINDZINC,5471
HIRECT,4352
HISARMETAL,1884
HITECH,2095
HITECHCORP,4107
HITECHGEAR,5273
HLEGLAS,864
HLVLTD,5501
HMAAGRO,281
HMT,5498
HMVL,3476
HNDFDS,424
HOMEFIRST,877
HONASA,194
HONAUT,5501
HONDAPOWER,5498
HOVS,4413
HPAL,656
HPIL,1120
HPL,1947
HSCL,4309
HTMEDIA,4678
HUBTOWN,4325
HUDCO,1794
HUHTAMAKI,5501
HYBRIDFIN,422
ICDSLTD,774
ICEMAKE,1653
ICICIBANK,5498
ICICIGI,1704
ICICIPRULI,1950
ICIL,4672
ICRA,4281
IDBI,7196
IDEA,4304
IDEAFORGE,277
IDFC,4691
IDFCFIRSTB,2169
IEL,407
IEX,1688
IFBAGRO,5498
IFBIND,5499
IFCI,5498
IFGLEXPOR,5101
IGARASHI,5501
IGL,5110
IGPL,4331
IIFL,4754
IIFLSEC,1218
IITL,3456
IKIO,291
IL&FSENGG,4146
IL&FSTRANS,3555
IMAGICAA,2317
IMFA,3474
IMPAL,4654
IMPEXFERRO,4825
INCREDIBLE,2010
INDBANK,3910
INDGN,71
INDHOTEL,5501
INDIACEM,7192
INDIAGLYCO,5471
INDIAMART,1270
INDIANB,4310
INDIANCARD,5499
INDIANHUME,5500
INDIASHLTR,165
INDIGO,2167
INDIGOPNTS,878
INDNIPPON,5499
INDOAMIN,572
INDOBORAX,593
INDOCO,4837
INDORAMA,5467
INDOSTAR,1545
INDOTECH,4547
INDOTHAI,3156
INDOWIND,4174
INDRAMEDCO,6844
INDSWFTLAB,5498
INDSWFTLTD,4901
INDTERRAIN,3315
INDUSINDBK,5499
INDUSTOWER,2873
INFIBEAM,2071
INFOBEAN,1749
INFOMEDIA,5498
INFY,7196
INGERRAND,5498
INNOVACAP,159
INOXGREEN,431
INOXINDIA,164
INOXWIND,2314
INSECTICID,4250
INSPIRISYS,4393
INTELLECT,2388
INTENTECH,1832
INTLCONV,725
INVENTURE,3214
IOB,5498
IOC,7118
IOLCP,3400
IONEXCHANG,616
IPCALAB,7193
IPL,775
IRB,4062
IRCON,1455
IRCTC,1204
IREDA,180
IRFC,880
IRIS,690
IRISDOREME,1422
IRMENERGY,202
ISEC,1577
ISFT,3547
ISGEC,817
ITC,7193
ITDC,1888
ITDCEM,5498
ITI,5498
IVC,5502
IVP,5496
IWEL,791
IXIGO,47
IZMO,4327
J&KBANK,5467
JAGRAN,4562
JAGSNPHARM,5500
JAIBALAJI,5123
JAICORPLTD,5501
JAIPURKURT,1108
JAMNAAUTO,3377
JASH,1693
JAYAGROGN,5501
JAYBARMARU,5501
JAYNECOIND,5499
JAYSREETEA,5498
JBCHEPHARM,5498
JBMA,4857
JCHAC,6412
JETAIRWAYS,4798
JETFREIGHT,1837
JGCHEM,109
JHS,4396
JINDALPHOT,4781
JINDALPOLY,5498
JINDALSAW,5498
JINDALSTEL,6224
JINDRILL,4918
JINDWORLD,3388
JIOFIN,246
JISLDVREQS,3138
JISLJALEQS,5617
JITFINFRA,1849
JKCEMENT,4548
JKIL,4071
JKLAKSHMI,4484
JKPAPER,4732
JKTYRE,4991
JLHL,227
JMA,2330
JMFINANCIL,4405
JNKINDIA,79
JOCIL,3910
JPOLYINVST,2657
JPPOWER,4775
JSFB,128
JSL,5139
JSWENERGY,3612
JSWHL,4729
JSWINFRA,217
JSWSTEEL,5278
JTEKTINDIA,5100
JTLIND,657
JUBLFOOD,3588
JUBLINDS,3333
JUBLINGREA,846
JUBLPHARMA,5501
JUNIPER,118
JUSTDIAL,2765
JWL,3414
JYOTHYLAB,4108
JYOTICNC,147
JYOTISTRUC,7195
KABRAEXTRU,5501
KAJARIACER,5498
KAKATCEM,5498
KALAMANDIR,221
KALYANIFRG,4106
KALYANKJIL,841
KAMATHOTEL,5497
KAMDHENU,4513
KAMOPAINTS,387
KANANIIND,3128
KANORICHEM,5501
KANPRPLA,898
KANSAINER,5498
KAPSTON,1566
KARMAENG,3241
KARURVYSYA,7193
KAUSHALYA,4111
KAVVERITEL,4079
KAYA,2225
KAYNES,432
KBCGLOBAL,1579
KCP,5498
KCPSUGIND,5498
KDDL,2065
KEC,5467
KECL,3569
KEEPLEARN,842
KEI,4542
KELLTONTEC,2091
KERNEX,4605
KESORAMIND,7196
KEYFINSERV,5498
KFINTECH,405
KHADIM,1672
KHAICHEM,942
KHAITANLTD,5497
KHANDSE,5498
KICL,3903
KILITCH,3427
KIMS,780
KINGFA,3609
KIOCL,1910
KIRIINDUS,4026
KIRLOSBROS,4532
KIRLOSENG,5468
KIRLOSIND,5499
KIRLPNU,327
KITEX,2934
KKCL,4529
KMSUGAR,4101
KNRCON,4067
KOHINOOR,5497
KOKUYOCMLN,3959
KOLTEPATIL,4112
KOPRAN,5498
KOTAKBANK,5760
KOTARISUG,4861
KOTHARIPET,5501
KOTHARIPRO,5498
KPIGREEN,760
KPIL,290
KPITTECH,1320
KPRMILL,4187
KRBL,5609
KREBSBIO,1932
KRIDHANINF,2147
KRISHANA,1847
KRITI,3149
KRITIKA,1435
KRITINUT,462
KRONOX,52
KRSNAA,746
KRYSTAL,103
KSB,5498
KSCL,4161
KSHITIJPOL,876
KSL,3903
KSOLVES,1001
KTKBANK,6057
KUANTUM,1198
LAGNAM,1451
LAL,338
LALPATHLAB,2139
LAMBODHARA,2356
LANCORHOL,110
LANDMARK,409
LAOPALA,4299
LASA,1708
LATENTVIEW,680
LATTEYS,1521
LAURUSLABS,1897
LAXMICOT,1746
LAXMIMACH,5501
LCCINFOTEC,5495
LEMONTREE,1574
LEXUS,1727
LFIC,3491
LGBBROSLTD,4101
LGHL,1067
LIBAS,1838
LIBERTSHOE,5498
LICHSGFIN,5498
LICI,561
LIKHITHA,953
LINC,2335
LINCOLN,2143
LINDEINDIA,6045
LLOYDSENGG,215
LLOYDSME,271
LODHA,828
LOKESHMACH,4515
LORDSCHLO,241
LOTUSEYE,3970
LOVABLE,3306
LOYALTEX,500
LPDC,3948
LT,5501
LTF,3208
LTFOODS,199
LTIM,1997
LTTS,1954
LUMAXIND,5498
LUMAXTECH,4339
LUPIN,5709
LUXIND,2155
LXCHEM,842
LYKALABS,7196
LYPSAGEMS,2662
M&M,7194
M&MFIN,4546
MAANALU,4726
MACPOWER,1583
MADHAV,4107
MADHUCON,4408
MADRASFERT,5498
MAGADSUGAR,1745
MAGNUM,4170
MAHABANK,5034
MAHAPEXLTD,1576
MAHASTEEL,2010
MAHEPC,1118
MAHESHWARI,1838
MAHLIFE,5498
MAHLOG,1674
MAHSCOOTER,5498
MAHSEAMLES,5501
MAITHANALL,3236
MALLCOM,630
MALUPAPER,4533
MANAKALUCO,2320
MANAKCOAT,2319
MANAKSIA,4096
MANAKSTEEL,2320
MANALIPETC,5501
MANAPPURAM,3491
MANCREDIT,6
MANGALAM,4750
MANGCHEFER,4149
MANGLMCEM,5498
MANINDS,4726
MANINFRA,3567
MANKIND,319
MANOMAY,391
MANORAMA,528
MANORG,693
MANUGRAPH,4422
MANYAVAR,620
MAPMYINDIA,660
MARALOVER,5498
MARATHON,1950
MARICO,7109
MARINE,1437
MARKSANS,5484
MARSHALL,1458
MARUTI,5234
MASFIN,1690
MASKINVEST,1940
MASTEK,5501
MATRIMONY,1708
MAWANASUG,3806
MAXESTATES,199
MAXHEALTH,991
MAXIND,986
MAYURUNIQ,2934
MAZDA,1929
MAZDOCK,956
MBAPL,1961
MBECL,4407
MBLINFRA,3607
MCL,1838
MCLEODRUSS,5467
MCX,3070
MEDANTA,434
MEDIASSIST,143
MEDICAMEQ,697
MEDICO,554
MEDPLUS,658
MEGASOFT,4214
MEGASTAR,620
MENONBE,2335
METROBRAND,659
METROPOLIS,1323
MFSL,7193
MGEL,1164
MGL,2010
MHLXMIRU,634
MHRIL,3726
MICEL,4250
MIDHANI,1577
MINDACORP,3064
MINDTECK,1989
MIRCELECTR,5499
MIRZAINT,5501
MITCON,1836
MITTAL,1568
MKPL,1744
MMFL,4356
MMP,1560
MMTC,3609
MODIRUBBER,1522
MODISONLTD,819
MODTHREAD,126
MOHITIND,2818
MOIL,3374
MOKSH,1636
MOL,744
MOLDTECH,2007
MOLDTKPAC,2344
MONARCH,648
MONTECARLO,2387
MORARJEE,4119
MOREPENLAB,7193
MOTHERSON,5499
MOTILALOFS,4177
MOTISONS,162
MOTOGENFIN,5485
MPHASIS,5498
MPSLTD,5498
MRF,5498
MRO-TEK,5466
MRPL,7193
MSPL,4710
MSTCLTD,1333
MSUMI,594
MTARTECH,850
MTEDUCARE,3048
MTNL,7194
MUFIN,195
MUFTI,161
MUKANDLTD,5499
MUKKA,112
MUKTAARTS,5498
MUNJALAU,5194
MUNJALSHOW,5498
MURUDCERA,5001
MUTHOOTCAP,2219
MUTHOOTFIN,3278
MUTHOOTMF,161
MVGJL,218
NACLIND,1821
NAGAFERT,5467
NAGREEKCAP,4601
NAGREEKEXP,4603
NAHARCAP,4052
NAHARINDUS,4608
NAHARPOLY,5501
NAHARSPING,5501
NAM-INDIA,1678
NARMADA,1554
NATCOPHARM,7194
NATHBIOGEN,2604
NATIONALUM,6326
NAUKRI,4377
NAVA,5498
NAVINFLUOR,4248
NAVKARCORP,2207
NAVNETEDUL,5501
NAZARA,840
NBCC,3048
NBIFIN,1905
NCC,5469
NCLIND,4288
NDGL,1969
NDL,4598
NDLVENTURE,424
NDRAUTO,1007
NDTV,5008
NECCLTD,2091
NECLIFE,4710
NELCAST,4230
NELCO,5498
NEOGEN,1310
NESCO,4034
NESTLEIND,5471
NETWEB,263
NETWORK18,5471
NEULANDLAB,3908
NEWGEN,1620
NEXTMEDIA,5498
NFL,4351
NGIL,743
NGLFINE,523
NH,2130
NHPC,3693
NIACL,1673
NIBL,2798
NIITLTD,5630
NIITMTS,254
NILAINFRA,2286
NILASPACES,1395
NILKAMAL,6409
NINSYS,368
NIPPOBATRY,5497
NIRAJ,962
NIRAJISPAT,110
NITCO,4544
NITINSPIN,4575
NITIRAJ,1836
NKIND,2072
NLCINDIA,5983
NMDC,4057
NOCIL,5498
NOIDATOLL,5384
NORBTEAEXP,5498
NOVAAGRI,138
NRAIL,1824
NRBBEARING,5501
NRL,648
NSIL,5501
NSLNISP,369
NTPC,4887
NUCLEUS,5375
NURECA,861
NUVAMA,221
NUVOCO,742
NYKAA,688
OAL,1081
OBCL,586
OBEROIRLTY,3412
OCCL,2116
OFSS,5500
OIL,3674
OILCOUNTUB,5498
OLAELEC,10
OLECTRA,5498
OMAXAUTO,5328
OMAXE,4199
OMINFRAL,3248
ONELIFECAP,3166
ONEPOINT,1643
ONGC,7193
ONMOBILE,4066
ONWARDTEC,5498
OPTIEMUS,1738
ORBTEXP,2662
ORCHPHARMA,5497
ORICONENT,2240
ORIENTALTL,4306
ORIENTBELL,4320
ORIENTCEM,2738
ORIENTCER,262
ORIENTELEC,1550
ORIENTHOT,5498
ORIENTLTD,5500
ORIENTPPR,5501
ORISSAMINE,3427
ORTEL,2326
ORTINLAB,2220
OSIAHYPER,1317
OSWALAGRO,1464
OSWALGREEN,5498
OSWALSEEDS,1512
PAGEIND,4299
PAISALO,3748
PAKKA,275
PALASHSECU,1744
PALREDTEC,5053
PANACEABIO,5501
PANACHE,1807
PANAMAPET,3176
PANSARI,1831
PAR,1294
PARACABLES,4348
PARADEEP,553
PARAGMILK,2041
PARAS,714
PARASPETRO,5472
PARKHOTELS,130
PARSVNATH,4371
PASUPTAC,707
PATANJALI,5498
PATELENG,4810
PATINTLOG,4093
PAVNAIND,843
PAYTM,682
PCBL,5498
PCJEWELLER,2874
PDMJEPAPER,2074
PDSL,2426
PEARLPOLY,5500
PEL,7195
PENIND,3388
PENINLAND,5501
PERSISTENT,3551
PETRONET,5047
PFC,4314
PFIZER,5498
PFOCUS,4483
PFS,3302
PGEL,3180
PGHH,5469
PGHL,5498
PGIL,4319
PHOENIXLTD,4275
PIDILITIND,5498
PIGL,1552
PIIND,3250
PILANIINVS,3160
PILITA,5467
PIONEEREMB,4508
PITTIENG,4328
PIXTRANS,573
PKTEA,3491
PLASTIBLEN,4351
PLATIND,114
PLAZACABLE,211
PNB,5500
PNBGILTS,5501
PNBHOUSING,1926
PNC,5498
PNCINFRA,2283
POCL,3423
PODDARHOUS,1820
PODDARMENT,1916
POKARNA,2007
POLICYBZR,685
POLYCAB,1322
POLYMED,3134
POLYPLEX,5498
PONNIERODE,5498
POONAWALLA,5024
POWERGRID,4160
POWERINDIA,1089
POWERMECH,2217
PPAP,4093
PPL,1283
PPLPHARMA,454
PRAENG,4348
PRAJIND,5498
PRAKASH,5498
PRAKASHSTL,3450
PRAXIS,1618
PRECAM,2108
PRECOT,4687
PRECWIRE,5498
PREMEXPLN,2020
PREMIERPOL,2960
PRESTIGE,3407
PRICOLLTD,5500
PRIMESECU,5501
PRINCEPIPE,1152
PRITI,1510
PRITIKAUTO,750
PRIVISCL,2295
PROZONER,2942
PRSMJOHNSN,5498
PRUDENT,558
PRUDMOULI,163
PSB,3364
PSPPROJECT,1788
PTC,5037
PTCIL,296
PTL,4331
PUNJABCHEM,4224
PURVA,4185
PVP,7126
PVRINOX,424
PVSL,105
PYRAMID,241
QUESS,2004
QUICKHEAL,2100
RACE,319
